id,date,latitude,longitude,timestamp,temp,feels_like,humidity,pressure,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,snow_1h,elevation,errors
2132,24-01-2024,30.91,-95.7589,1706076000,16.45,16.66,96,1014,1.42,65,0,100,6.61,0,65,[]
2133,24-01-2024,30.91,-95.7589,1706076000,16.45,16.66,96,1014,1.42,65,0,100,6.61,0,65,[]
2134,24-01-2024,30.91,-95.7589,1706076000,16.45,16.66,96,1014,1.42,65,0,100,6.61,0,65,[]
2135,24-01-2024,31.0552,-94.9665,1706076000,16.49,16.75,98,1014,2.18,116,0,100,0.99,0,81,[]
2136,24-01-2024,29.96,-96.5045,1706076000,17.14,17.49,99,1014,1.01,4,0,100,1,0,91,[]
2137,24-01-2024,29.96,-96.5045,1706076000,17.14,17.49,99,1014,1.01,4,0,100,1,0,91,[]
2138,24-01-2024,29.96,-96.5045,1706076000,17.14,17.49,99,1014,1.01,4,0,100,1,0,91,[]
2139,24-01-2024,29.96,-96.5045,1706076000,17.14,17.49,99,1014,1.01,4,0,100,1,0,91,[]
2140,24-01-2024,30.6,-95.4,1706076000,17.21,17.57,99,1014,1.74,95,0,100,1.48,0,101,[]
2141,24-01-2024,30.91,-95.759,1706076000,16.45,16.66,96,1014,1.42,65,0,100,6.61,0,65,[]
2142,24-01-2024,30.91,-95.7589,1706076000,16.45,16.66,96,1014,1.42,65,0,100,6.61,0,65,[]
2143,24-01-2024,28.5778,-97.0179,1706076000,18.6,19.1,99,1014,0.83,352,0,100,5.8,0,23,[]
2144,24-01-2024,30.1066,-94.1337,1706076000,18.22,18.68,99,1015,0.89,232,2.24,100,7.11,0,16,[]
2145,24-01-2024,29.41,-98.61,1706076000,16.67,16.93,97,1014,3.6,50,0,100,2.54,0,215,[]
2146,24-01-2024,29.45,-98.42,1706076000,15.41,15.54,97,1014,3.6,110,0,100,1.02,0,200,[]
2147,24-01-2024,29.9,-96.61,1706076000,17.11,17.46,99,1014,7.15,324,9.39,100,17.15,0,84,[]
2148,25-01-2024,29.9,-96.61,1706162400,13.75,13.77,99,1018,1.79,345,4.02,100,2.16,0,84,[]
2149,24-01-2024,29.65,-97.24,1706076000,17.25,17.62,99,1014,1.85,341,0,100,1.01,0,102,[]
2150,24-01-2024,29.45,-97.18,1706076000,17.34,17.43,88,1014,1.42,343,0,100,1,0,117,[]
2151,24-01-2024,30.48,-93.94,1706076000,18.35,18.8,98,1015,3.11,156,0,100,0.24,0,41,[]
2152,24-01-2024,29.99,-96.65,1706076000,15.55,15.75,99,1014,1.23,339,0,100,1.32,0,116,[]
2153,24-01-2024,29.6823,-96.9216,1706076000,17.48,17.82,97,1014,1.45,339,0,100,1.21,0,99,[]
2154,24-01-2024,29.46,-97.17,1706076000,17.34,17.43,88,1014,1.42,343,0,100,1,0,117,[]
2155,24-01-2024,29.4405,-96.9304,1706076000,17.74,18.13,98,1014,1.23,347,0,100,1.69,0,74,[]
2156,24-01-2024,29.31,-97.51,1706076000,17.1,17.45,99,1014,1.4,5,0,100,1.14,0,70,[]
2157,24-01-2024,30.19,-93.91,1706076000,17.84,18.13,94,1015,1.54,200,0,100,0,0,16,[]
2158,24-01-2024,29.22,-97.65,1706076000,17.33,17.7,99,1014,1.7,20,0,100,1.09,0,96,[]
2159,24-01-2024,29.6899,-97.0673,1706076000,16.92,17.23,98,1014,1.45,339,0,100,1.21,0,143,[]
2160,24-01-2024,29.84,-97.05,1706076000,16.77,17.09,99,1014,3.09,20,0,100,1.21,0,104,[]
2161,24-01-2024,30.08,-95.74,1706076000,16.81,17.05,96,1014,1.93,103,0,100,0.25,0,71,[]
2162,24-01-2024,30.0958,-95.7602,1706076000,16.85,17.12,97,1014,1.93,103,0,100,0.25,0,71,[]
2163,24-01-2024,30.318,-95.5198,1706076000,17.02,17.31,97,1014,2.06,80,0,100,0.51,0,52,[]
2164,24-01-2024,31.67,-95.23,1706076000,15.87,16.1,99,1014,0.64,172,0,100,1.58,0,86,[]
2165,24-01-2024,31.72,-95.24,1706076000,15.84,16.09,100,1014,2.06,140,0,75,1.58,0,98,[]
2166,25-01-2024,30.0817,-93.8784,1706162400,16.39,16.51,93,1015,6.37,78,0,100,1.16,0,10,[]
2167,25-01-2024,29.9128,-94.3137,1706162400,16.02,16.16,95,1015,3.09,50,0,100,3.08,0,19,[]
2168,03-02-2024,28.9083,-97.0752,1706940000,16.32,15.21,46,1006,10.29,340,15.43,100,12.83,0,37,[]
2169,10-02-2024,30.6321,-95.6134,1707544800,18.8,19.03,88,1014,3.09,170,0,0,0,0,88,[]
2170,10-02-2024,30.87,-95.72,1707544800,19.01,19.29,89,1014,3.09,170,0,0,0,0,55,[]
2171,07-03-2024,32.4,-99.76,1709791200,17.85,17.49,69,1008,7.2,150,0,20,0,0,548,[]
2172,07-03-2024,32.41,-99.49,1709791200,15.08,14.81,83,1008,5.14,160,0,20,0.25,0,611,[]
2173,07-03-2024,32.9725,-97.2466,1709791200,20.3,19.87,57,1009,2.24,173,5.81,100,0,0,214,[]
2174,14-03-2024,33.57,-95.45,1710392400,21.61,21.99,83,1008,4.63,170,0,0,0,0,156,[]
2175,15-03-2024,33.57,-95.45,1710478800,20.1,20.78,100,1011,4.12,10,0,100,12.95,0,156,[]
2176,14-03-2024,33.6914,-95.6061,1710392400,21.69,22.08,83,1007,4.63,170,0,0,0,0,152,[]
